Date,AAPL,AMD,AMZN,GOOGL,IWM,JPM,KO,META,MSFT,NVDA,SPY,TSLA,XLE,XLF,XLK,XLV,XLY
2020-01-02,72.33389282226562,49.099998474121094,94.90049743652344,67.8730239868164,153.43309020996094,118.43030548095703,45.43270492553711,208.1465606689453,151.82955932617188,5.970753192901611,296.8882141113281,28.68400001525879,23.35608673095703,27.64297866821289,44.2941780090332,92.30610656738281,60.15519714355469
2020-01-03,71.63062286376953,48.599998474121094,93.74849700927734,67.51795196533203,152.83151245117188,116.86748504638672,45.18484878540039,207.04522705078125,149.93899536132812,5.875185489654541,294.64007568359375,29.534000396728516,23.286691665649414,27.349464416503906,43.796180725097656,91.50172424316406,59.643272399902344
2020-01-06,72.20140075683594,48.38999938964844,95.14399719238281,69.31758880615234,153.0351104736328,116.7745361328125,45.16832733154297,210.9446258544922,150.32655334472656,5.899826526641846,295.76409912109375,30.1026668548584,23.4678955078125,27.33167839050293,43.900508880615234,92.07112121582031,59.809165954589844
2020-01-07,71.8618392944336,48.25,95.34300231933594,69.18370056152344,152.5260772705078,114.7893295288086,44.82131576538086,211.4010009765625,148.95594787597656,5.971251964569092,294.9324951171875,31.270666122436523,23.406206130981445,27.15379524230957,43.88154602050781,91.89033508300781,59.71437454223633
2020-01-08,73.01782989501953,47.83000183105469,94.59850311279297,69.6761245727539,152.99810791015625,115.68479919433594,44.903953552246094,213.54421997070312,151.32858276367188,5.98245096206665,296.50439453125,32.80933380126953,23.020668029785156,27.33167839050293,44.35110092163086,92.48686981201172,59.894493103027344
2020-01-09,74.56880187988281,48.970001220703125,95.05249786376953,70.40757751464844,153.18316650390625,116.1072006225586,45.72188186645508,216.60025024414062,153.21910095214844,6.048155784606934,298.5147705078125,32.089332580566406,23.190309524536133,27.50066375732422,44.853851318359375,92.884521484375,60.212066650390625
2020-01-10,74.73737335205078,48.16999816894531,94.15799713134766,70.86231994628906,152.60940551757812,114.94983673095703,45.87885284423828,216.36209106445312,152.51014709472656,6.080507755279541,297.6557922363281,31.876667022705078,23.05921745300293,27.296098709106445,44.74950408935547,92.91166687011719,59.88499069213867
2020-01-13,76.3340835571289,48.75,94.56500244140625,71.41128540039062,153.59971618652344,115.9043960571289,46.374568939208984,220.18211364746094,154.34396362304688,6.271146774291992,299.702880859375,34.990665435791016,23.066930770874023,27.482877731323242,45.30916213989258,92.58629608154297,60.07460403442383
2020-01-14,75.3033218383789,48.209999084472656,93.47200012207031,70.94316101074219,154.1642303466797,117.25605010986328,46.26717758178711,217.35430908203125,153.25689697265625,6.154175758361816,299.2460021972656,35.861331939697266,23.07078742980957,27.429508209228516,45.095741271972656,93.14664459228516,60.05564498901367
2020-01-15,74.9806137084961,48.54999923706055,93.10099792480469,71.37012481689453,154.90464782714844,115.49894714355469,46.84550857543945,219.4280548095703,154.2494659423828,6.111617088317871,299.9222106933594,34.56666564941406,22.90114974975586,27.278310775756836,45.147911071777344,93.9510269165039,59.91819763183594
2020-01-16,75.91984558105469,49.77000045776367,93.89700317382812,71.91363525390625,156.90377807617188,115.94667053222656,46.944644927978516,220.04322814941406,157.07583618164062,6.195239543914795,302.41717529296875,34.232666015625,22.93970489501953,27.51845359802246,45.75499725341797,94.43907928466797,60.45380783081055
2020-01-17,76.7603759765625,50.93000030517578,93.23600006103516,73.36959838867188,156.4780731201172,116.74922180175781,47.043792724609375,220.4103240966797,157.9549102783203,6.203949928283691,303.3583679199219,34.03333282470703,22.793195724487305,27.5985050201416,46.06329345703125,94.43907928466797,60.66710662841797
2020-01-21,76.24015808105469,51.04999923706055,94.5999984741211,73.50498962402344,155.18234252929688,115.60029602050781,47.23381805419922,219.71578979492188,157.3877716064453,6.170600414276123,302.7643737792969,36.47999954223633,22.384521484375,27.36725616455078,46.04432678222656,94.53852081298828,60.48225021362305
2020-01-22,76.51232147216797,51.43000030517578,94.37300109863281,73.58531188964844,155.08050537109375,115.46516418457031,47.59735107421875,219.59671020507812,156.6315155029297,6.224607944488525,302.8008728027344,37.97066879272461,22.168615341186523,27.44729995727539,46.2103385925293,94.65599060058594,60.45380783081055
